Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Length,Nuc_Completeness,Segment,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_077898,Yaba-7 virus,RefSeq,GCF_009731815.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus heptayabaense,Orthobunyavirus,6867,complete,L,Nigeria,,Mansonia africana,,1963
NC_077899,Yaba-7 virus,RefSeq,GCF_009731815.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus heptayabaense,Orthobunyavirus,4300,complete,M,Nigeria,,Mansonia africana,,1963
NC_077900,Yaba-7 virus,RefSeq,GCF_009731815.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus heptayabaense,Orthobunyavirus,851,complete,S,Nigeria,,Mansonia africana,,1963
NC_077913,Matruh virus,RefSeq,GCF_009731935.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus matruhense,Orthobunyavirus,4374,complete,M,Egypt,,Curruca curruca,,1961-09-26
NC_077914,Matruh virus,RefSeq,GCF_009731935.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus matruhense,Orthobunyavirus,897,complete,S,Egypt,,Curruca curruca,,1961-09-26
NC_077915,Matruh virus,RefSeq,GCF_009731935.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus matruhense,Orthobunyavirus,6949,complete,L,Egypt,,Curruca curruca,,1961-09-26
NC_077916,Mahogany hammock virus,RefSeq,GCF_009731955.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus mahoganyense,Orthobunyavirus,6871,complete,L,USA,,Culex,,1964-01-25
NC_077917,Mahogany hammock virus,RefSeq,GCF_009731955.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus mahoganyense,Orthobunyavirus,871,complete,S,USA,,Culex,,1964-01-25
NC_077918,Mahogany hammock virus,RefSeq,GCF_009731955.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus mahoganyense,Orthobunyavirus,4422,complete,M,USA,,Culex,,1964-01-25
NC_077925,Ananindeua virus,RefSeq,GCF_009732055.1,"Hughes,H.R., Russell,B., Lambert,A.J.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn20525,Orthobunyavirus ananindeuaense,Orthobunyavirus,1003,complete,S,Brazil,,Mus,,1960-06
