Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Segment,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_086348,Frijoles virus,RefSeq,GCF_031497195.1,"Hughes,H.R., Russell,B.J., Lambert,A.J.","National Center for Biotechnology Information, NIH",USA,2024-03-19,VP-161A,Frijoles phlebovirus,6374,complete,,Panama: Canal Zone,,Lutzomyia,,1969-11-24
NC_086346,Frijoles virus,RefSeq,GCF_031497195.1,"Hughes,H.R., Russell,B.J., Lambert,A.J.","National Center for Biotechnology Information, NIH",USA,2024-03-12,VP-161A,Frijoles phlebovirus,1863,complete,,Panama: Canal Zone,,Lutzomyia,,1969-11-24
NC_086347,Frijoles virus,RefSeq,GCF_031497195.1,"Hughes,H.R., Russell,B.J., Lambert,A.J.","National Center for Biotechnology Information, NIH",USA,2024-03-12,VP-161A,Frijoles phlebovirus,4310,complete,,Panama: Canal Zone,,Lutzomyia,,1969-11-24
NC_083851,Bird's-foot trefoil nucleorhabdovirus,RefSeq,GCF_031580055.1,"Debat,H.J., Bejerman,N., Giolitti,F., Trucco,V., de Breuil,S., Dietzgen,R.G., Lenardon,S., Innes,D.J.","National Center for Biotechnology Information, NIH",USA,2024-02-21,LC,Bird's-foot trefoil nucleorhabdovirus,13626,complete,,,,Lotus corniculatus,,
NC_077898,Yaba-7 virus,RefSeq,GCF_009731815.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus heptayabaense,6867,complete,L,Nigeria,,Mansonia africana,,1963
NC_077899,Yaba-7 virus,RefSeq,GCF_009731815.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus heptayabaense,4300,complete,M,Nigeria,,Mansonia africana,,1963
NC_077900,Yaba-7 virus,RefSeq,GCF_009731815.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus heptayabaense,851,complete,S,Nigeria,,Mansonia africana,,1963
NC_077913,Matruh virus,RefSeq,GCF_009731935.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus matruhense,4374,complete,M,Egypt,,Curruca curruca,,1961-09-26
NC_077914,Matruh virus,RefSeq,GCF_009731935.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus matruhense,897,complete,S,Egypt,,Curruca curruca,,1961-09-26
NC_077915,Matruh virus,RefSeq,GCF_009731935.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus matruhense,6949,complete,L,Egypt,,Curruca curruca,,1961-09-26
NC_077916,Mahogany hammock virus,RefSeq,GCF_009731955.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus mahoganyense,6871,complete,L,USA,,Culex,,1964-01-25
NC_077917,Mahogany hammock virus,RefSeq,GCF_009731955.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus mahoganyense,871,complete,S,USA,,Culex,,1964-01-25
NC_077918,Mahogany hammock virus,RefSeq,GCF_009731955.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus mahoganyense,4422,complete,M,USA,,Culex,,1964-01-25
NC_077925,Ananindeua virus,RefSeq,GCF_009732055.1,"Hughes,H.R., Russell,B., Lambert,A.J.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn20525,Orthobunyavirus ananindeuaense,1003,complete,S,Brazil,,Mus,,1960-06
NC_077926,Ananindeua virus,RefSeq,GCF_009732055.1,"Hughes,H.R., Russell,B., Lambert,A.J.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn20525,Orthobunyavirus ananindeuaense,4815,complete,M,Brazil,,Mus,,1960-06
NC_077927,Ananindeua virus,RefSeq,GCF_009732055.1,"Hughes,H.R., Russell,B., Lambert,A.J.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn20525,Orthobunyavirus ananindeuaense,6935,complete,L,Brazil,,Mus,,1960-06
NC_077928,Mirim virus,RefSeq,GCF_009732075.1,"Carvalho,V.L., Medeiros,D.B.A., Nunes,M.R.T., Vasconcelosa,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bertiogaense,6979,complete,,Brazil,,Sapajus apella,,1957-08-13
NC_077929,Mirim virus,RefSeq,GCF_009732075.1,"Carvalho,V.L., Medeiros,D.B.A., Nunes,M.R.T., Vasconcelosa,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bertiogaense,4534,complete,,Brazil,,Sapajus apella,,1957-08-13
NC_077930,Mirim virus,RefSeq,GCF_009732075.1,"Carvalho,V.L., Medeiros,D.B.A., Nunes,M.R.T., Vasconcelosa,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bertiogaense,1094,complete,,Brazil,,Sapajus apella,,1957-08-13
NC_077934,Infirmatus virus,RefSeq,GCF_009732155.1,"Rogers,M.B., Gulino,K.M., Tesh,R.B., Cui,L., Fitch,A., Unnasch,T.R., Popov,V.L., Travassos da Rosa,A.P.A., Guzman,H., Carrera,J.P., Vasilakis,N., Ghedin,E., Carrera,J.-P.","National Center for Biotechnology Information, NIH",USA,2023-05-07,Tampa 08,Orthobunyavirus achiotei,6967,complete,L,USA,,Ochlerotatus infirmatus,,2008-04-22
NC_077935,Infirmatus virus,RefSeq,GCF_009732155.1,"Rogers,M.B., Gulino,K.M., Tesh,R.B., Cui,L., Fitch,A., Unnasch,T.R., Popov,V.L., Travassos da Rosa,A.P.A., Guzman,H., Carrera,J.P., Vasilakis,N., Ghedin,E., Carrera,J.-P.","National Center for Biotechnology Information, NIH",USA,2023-05-07,Tampa 08,Orthobunyavirus achiotei,968,complete,S,USA,,Ochlerotatus infirmatus,,2008-04-22
NC_077936,Infirmatus virus,RefSeq,GCF_009732155.1,"Rogers,M.B., Gulino,K.M., Tesh,R.B., Cui,L., Fitch,A., Unnasch,T.R., Popov,V.L., Travassos da Rosa,A.P.A., Guzman,H., Carrera,J.P., Vasilakis,N., Ghedin,E., Carrera,J.-P.","National Center for Biotechnology Information, NIH",USA,2023-05-07,Tampa 08,Orthobunyavirus achiotei,4495,complete,M,USA,,Ochlerotatus infirmatus,,2008-04-22
NC_077940,Abras virus,RefSeq,GCF_009732215.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,75V1183,Orthobunyavirus abrasense,4777,complete,M,Ecuador,,Culex paracrybda,,1974-08-21
NC_077941,Abras virus,RefSeq,GCF_009732215.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,75V1183,Orthobunyavirus abrasense,6901,complete,L,Ecuador,,Culex paracrybda,,1974-08-21
NC_077942,Abras virus,RefSeq,GCF_009732215.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,75V1183,Orthobunyavirus abrasense,1073,complete,S,Ecuador,,Culex paracrybda,,1974-01-21
NC_077946,Shark River virus,RefSeq,GCF_009732255.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,64U80,Orthobunyavirus squalofluvii,6824,complete,L,Mexico,,Cricetinae,,1964
NC_077947,Shark River virus,RefSeq,GCF_009732255.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,64U80,Orthobunyavirus squalofluvii,4661,complete,M,Mexico,,Cricetinae,,1964
NC_077948,Shark River virus,RefSeq,GCF_009732255.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,64U80,Orthobunyavirus squalofluvii,1019,complete,S,Mexico,,Cricetinae,,1964
